file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
paper.png,76.8KB,In use,2020-02-04 18:33:33.498286,2019-12-25 08:37:44.555460,2019-12-25 08:37:47.776604,2020-02-04 18:33:33.510280,2020-02-04 18:33:33.498286,2020-02-04 18:33:33.498286,2020-02-04 18:33:33.498286,2020-02-04 18:33:33.498286,./prob/paper.png
rock.png,75.1KB,In use,2020-02-04 18:33:33.522256,2019-12-25 08:35:03.840932,2019-12-25 08:37:28.226854,2020-02-04 18:33:33.534266,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,2020-02-04 18:33:33.522256,./prob/rock.png
scissor.png,76.6KB,In use,2020-02-04 18:33:33.544242,2019-12-25 08:37:30.498548,2019-12-25 08:37:42.967372,2020-02-04 18:33:33.556252,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,2020-02-04 18:33:33.544242,./prob/scissor.png
tools,0,In use directory,2020-02-04 18:33:56.253182,2020-02-04 18:38:24.753244,2020-02-04 18:38:24.753244,2020-02-04 18:38:25.051584,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,2020-02-04 18:33:56.253182,./tools
plaso-master,0,In use directory,2020-02-04 18:34:00.387388,2020-02-04 18:36:27.900184,2020-02-04 18:36:27.900184,2020-02-04 18:36:27.900184,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,2020-02-04 18:34:00.387388,./tools/plaso-master
.github,0,In use directory,2020-02-04 18:34:00.406368,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:36:16.435624,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,2020-02-04 18:34:00.406368,./tools/plaso-master/.github
ISSUE_TEMPLATE,0,In use directory,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:36:16.436622,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,2020-02-04 18:34:00.410364,./tools/plaso-master/.github/ISSUE_TEMPLATE
release.md,2.2KB,In use,2020-02-04 18:34:00.418418,2019-09-16 16:51:11.000000,2020-02-04 18:34:00.487320,2020-02-04 18:34:00.467332,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,2020-02-04 18:34:00.418418,./tools/plaso-master/.github/ISSUE_TEMPLATE/release.md
ISSUE_TEMPLATE.md,1.4KB,In use,2020-02-04 18:34:00.495316,2019-09-16 16:51:11.000000,2020-02-04 18:34:02.006262,2020-02-04 18:34:00.535292,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,2020-02-04 18:34:00.495316,./tools/plaso-master/.github/ISSUE_TEMPLATE.md
PULL_REQUEST_TEMPLATE.md,881.0B,In use,2020-02-04 18:34:02.099190,2019-09-16 16:51:11.000000,2020-02-04 18:34:03.651070,2020-02-04 18:34:02.203132,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,2020-02-04 18:34:02.099190,./tools/plaso-master/.github/PULL_REQUEST_TEMPLATE.md
